Date,Open,High,Low,Close,Volume,Market Cap
1509685200,288.497009277,308.312988281,287.692993164,305.7109985,646339968,29197317355.4
1509771600,305.480987549,305.480987549,295.802001953,300.4689941,416479008,28702737364.9
1509858000,300.036987305,301.371002197,295.117004395,296.2630004,337657984,28307052340.9
1509948000,296.427001953,305.415008545,293.717010498,298.8919982,579358976,28564296471.6
1510034400,298.567993164,304.842010498,290.766998291,294.6589965,540766016,28165778801.2
1510120800,294.27099609,318.70199585,293.102996826,309.0700073,967955968,29549552409.4
1510207200,308.64498901,329.45199585,307.055999756,320.8840026,893249984,30685584327.4
1510293600,320.67098999,324.717987061,294.541992188,299.2529907,885985984,28623188737.6
1510380000,298.58599853,319.45300293,298.191986084,314.6809997,842300992,30105285828.4
1510466400,314.690002441,319.153015137,298.513000488,307.9079895,1613479936,29463540579.2
1510552800,307.024993896,328.415008545,307.024993896,316.71600341,1041889984,30312834755.5
1510639200,316.763000488,340.177001953,316.763000488,337.63101196,1069680000,32321383639.1
1510725600,337.963989258,340.911987305,329.812988281,333.3569946,722665984,31919060540
1510812000,333.442993164,336.158996582,323.60598754,330.9240112,797254016,31692795452.9
1510898400,330.166992188,334.963989258,327.523010254,332.3940124,621732992,31840349187.1
1510984800,331.980010986,349.615997314,327.687011719,347.6119995,649638976,33305160559.1
1511071200,347.401000977,371.290985107,344.739990234,354.38598632,1181529984,33961430090
1511157600,354.093994141,372.136993408,353.289001465,366.7300109,807027008,35151847932.9
1511244000,367.442993164,372.470001221,350.692993164,360.4010009,949912000,34552559750
1511330400,360.312011719,381.420013428,360.147003174,380.652008,800819008,36501878924.8
1511416800,381.43899536,425.54800415,376.088012695,410.1659851,1845680000,39340408035.9
1511503200,412.50100708,480.972991943,402.757995605,474.91101074,2292829952,45560021462.3
1511589600,475.675994873,485.191986084,461.053009033,466.27600097,1422080000,44741093552.3
1511676000,465.973999023,472.722991943,451.605987549,471.32998657,1197779968,45235644661.6
1511762400,471.531005859,493.404998779,468.484985352,480.35501098,1396480000,46111561438.2
1511848800,480.518005371,482.480010986,466.346984863,472.90200805,1346499968,45405717908.6
1511935200,473.281005859,522.307006836,425.071014404,427.52301025,2675940096,41057383008.6
1512021600,431.214996338,465.497009277,401.243011475,447.11401367,1903040000,42947937239
1512108000,445.209014893,472.609008789,428.312011719,466.54000854,1247879936,44823457368.9
1512194400,466.851013184,476.239013672,456.653015137,463.4490051,943649984,44535863932.9
1512280800,463.704986572,482.813995361,451.851989746,465.8529968,990556992,44776362723.9
1512367200,466.053985596,474.777008057,453.31201171,470.20401001,1005550016,45204145124.6
1512453600,470.294006348,473.558013916,457.660003662,463.28100585,1216720000,44548159326.4
1512540000,462.604003906,462.708007812,420.209991455,428.58801269,1998259968,41220997941.6
1512626400,426.368988037,441.397003174,414.411010742,434.4079895,2129570048,41789848007.1
1512712800,434.989013672,466.062011719,422.367004395,456.03100585,2336379904,43879256076.4
1512799200,457.343994141,504.147003174,456.25299072,473.50201416,2003849984,45570080683.4
1512885600,472.789001465,472.789001465,429.514007568,441.7210083,1404179968,42520479602.2
1512972000,440.358001709,516.968994141,439.104003906,515.13598632,1771440000,49597927197.8
1513058400,522.286010742,657.317993164,504.493988037,651.43103027,5179829760,62733982231.6
1513144800,644.906005859,747.992980957,597.797973633,702.7670288,4524539904,67692231422.2
1513231200,700.59399414,753.12097168,664.989013672,695.815979,3821580032,67036917106.7
1513317600,696.375976562,697.132019043,621.060974121,684.44799804,2758710016,65956174320.9
1513404000,686.192016602,718.385009766,680.786010742,696.20898437,2165690112,67103695920.2
1513490400,696.236999512,735.825012207,696.236999512,719.9749755,2147389952,69409025337.5
