Price,CDP-1,CDP-2,CDP-3
158,177.33333333333334,196.6666666666667,193.44444444444449
159,178.66666666666669,198.33333333333337,195.0555555555556
160,180.00000000000003,200.00000000000003,196.6666666666667
161,181.33333333333334,201.6666666666667,198.2777777777778
162,182.66666666666669,203.3333333333334,199.8888888888889
163,184.00000000000003,205.00000000000006,201.50000000000003
164,185.33333333333334,206.6666666666667,203.11111111111114
165,186.66666666666669,208.3333333333334,204.72222222222226
166,188.00000000000003,210.00000000000003,206.3333333333334
167,189.33333333333337,211.66666666666674,207.94444444444446
168,190.66666666666669,213.3333333333334,209.5555555555556
169,192.0,215.00000000000006,211.1666666666667
170,193.33333333333337,216.6666666666667,212.77777777777783
171,194.66666666666669,218.3333333333334,214.3888888888889
172,196.00000000000006,220.00000000000006,216.00000000000003
173,197.33333333333337,221.6666666666667,217.61111111111117
174,198.66666666666669,223.33333333333337,219.22222222222229
175,200.00000000000003,225.00000000000006,220.83333333333337
176,201.33333333333334,226.66666666666669,222.44444444444449
177,202.66666666666669,228.3333333333334,224.0555555555556
178,204.00000000000003,230.00000000000006,225.6666666666667
179,205.33333333333334,231.6666666666667,227.27777777777783
180,206.6666666666667,233.33333333333337,228.88888888888894
181,208.00000000000003,235.00000000000006,230.50000000000006
182,209.33333333333337,236.6666666666667,232.11111111111117
183,210.6666666666667,238.33333333333337,233.72222222222229
184,212.00000000000006,240.00000000000006,235.33333333333337
185,213.33333333333337,241.6666666666667,236.94444444444449
186,214.66666666666666,243.33333333333337,238.55555555555563
187,216.00000000000003,245.00000000000006,240.1666666666667
188,217.33333333333337,246.6666666666667,241.77777777777783
189,218.66666666666669,248.3333333333334,243.38888888888894
190,220.0,250.00000000000006,245.00000000000006
191,221.33333333333334,251.6666666666667,246.61111111111114
192,222.66666666666669,253.33333333333337,248.22222222222229
193,224.00000000000003,255.00000000000006,249.83333333333337
194,225.33333333333334,256.6666666666667,251.44444444444449
195,226.66666666666669,258.33333333333337,253.05555555555557
196,228.00000000000003,260.00000000000006,254.66666666666674
197,229.33333333333337,261.66666666666674,256.2777777777778
198,230.6666666666667,263.33333333333337,257.8888888888889
199,232.00000000000003,265.00000000000006,259.50000000000006
200,233.33333333333334,266.6666666666667,261.11111111111114
201,234.66666666666666,268.33333333333337,262.7222222222223
202,236.00000000000003,270.00000000000006,264.33333333333337
203,237.33333333333337,271.66666666666674,265.9444444444445
204,238.66666666666669,273.3333333333334,267.5555555555556
205,240.00000000000003,275.00000000000006,269.1666666666667
206,241.33333333333334,276.6666666666667,270.7777777777778
207,242.66666666666669,278.33333333333337,272.38888888888897
208,244.0,280.00000000000006,274.00000000000006
209,245.33333333333334,281.66666666666674,275.61111111111114
210,246.66666666666669,283.33333333333337,277.2222222222223
211,248.00000000000003,285.00000000000006,278.83333333333337
212,249.33333333333337,286.66666666666674,280.4444444444445
213,250.66666666666669,288.33333333333337,282.0555555555556
214,252.00000000000003,290.00000000000006,283.6666666666667
215,253.33333333333334,291.6666666666667,285.2777777777778
216,254.66666666666669,293.33333333333337,286.8888888888889
217,256.00000000000006,295.00000000000006,288.50000000000006
218,257.33333333333337,296.6666666666667,290.1111111111112
219,258.6666666666667,298.3333333333334,291.7222222222223
220,260.0,300.00000000000006,293.33333333333337
221,261.33333333333337,301.66666666666674,294.94444444444446
222,262.6666666666667,303.3333333333334,296.5555555555556
223,264.0,305.00000000000006,298.16666666666674
224,265.33333333333337,306.66666666666674,299.7777777777778
225,266.6666666666667,308.3333333333334,301.3888888888889
226,268.0,310.00000000000006,303.00000000000006
227,269.33333333333337,311.66666666666674,304.61111111111114
228,270.66666666666674,313.33333333333337,306.2222222222223
229,272.0,315.00000000000006,307.8333333333334
230,273.33333333333337,316.66666666666674,309.4444444444445
231,274.6666666666667,318.33333333333337,311.0555555555556
232,276.0,320.00000000000006,312.6666666666667
233,277.33333333333337,321.66666666666674,314.2777777777778
234,278.6666666666667,323.3333333333334,315.8888888888889
235,280.00000000000006,325.00000000000006,317.50000000000006
236,281.33333333333337,326.66666666666674,319.1111111111112
237,282.66666666666674,328.33333333333337,320.7222222222223
238,284.00000000000006,330.0000000000001,322.3333333333334
239,285.33333333333337,331.66666666666674,323.9444444444445
240,286.66666666666674,333.3333333333334,325.55555555555566
241,288.00000000000006,335.0000000000001,327.16666666666674
242,289.33333333333337,336.6666666666667,328.7777777777778
243,290.6666666666667,338.3333333333334,330.38888888888897
244,292.00000000000006,340.00000000000006,332.00000000000006
245,293.33333333333337,341.66666666666674,333.6111111111112
246,294.6666666666667,343.33333333333337,335.2222222222223
247,296.00000000000006,345.0000000000001,336.83333333333337
248,297.33333333333337,346.66666666666674,338.4444444444445
249,298.66666666666674,348.3333333333334,340.0555555555556
250,300.00000000000006,350.0000000000001,341.66666666666674
251,301.33333333333337,351.66666666666674,343.2777777777778
252,302.6666666666667,353.33333333333337,344.88888888888897
253,304.00000000000006,355.0000000000001,346.50000000000006
254,305.33333333333337,356.66666666666674,348.1111111111112
255,306.6666666666667,358.3333333333334,349.7222222222223
256,308.00000000000006,360.00000000000006,351.33333333333337
257,309.33333333333337,361.66666666666674,352.9444444444445
258,310.66666666666674,363.33333333333337,354.55555555555566
259,312.00000000000006,365.00000000000006,356.16666666666674
260,313.33333333333337,366.66666666666674,357.7777777777778
261,314.66666666666674,368.3333333333334,359.38888888888897
262,316.00000000000006,370.00000000000006,361.00000000000006
263,317.33333333333337,371.66666666666674,362.6111111111112
264,318.6666666666667,373.33333333333337,364.22222222222234
265,320.00000000000006,375.0000000000001,365.83333333333337
266,321.33333333333337,376.66666666666674,367.4444444444445
267,322.6666666666667,378.3333333333334,369.0555555555556
268,324.00000000000006,380.0000000000001,370.6666666666667
269,325.33333333333337,381.66666666666674,372.2777777777778
270,326.6666666666667,383.3333333333334,373.88888888888897
271,328.0,385.00000000000006,375.50000000000006
272,329.33333333333337,386.66666666666674,377.11111111111114
273,330.6666666666667,388.3333333333334,378.7222222222223
274,332.0,390.0000000000001,380.3333333333334
275,333.3333333333334,391.66666666666674,381.9444444444445
276,334.6666666666667,393.3333333333334,383.5555555555556
277,336.00000000000006,395.00000000000006,385.16666666666674
278,337.33333333333337,396.66666666666674,386.7777777777779
279,338.66666666666674,398.33333333333337,388.38888888888897
280,340.00000000000006,400.00000000000006,390.0000000000001
281,341.33333333333337,401.66666666666674,391.6111111111112
282,342.66666666666674,403.3333333333334,393.2222222222223
283,344.00000000000006,405.0000000000001,394.83333333333337
284,345.33333333333337,406.66666666666674,396.4444444444445
285,346.6666666666667,408.3333333333334,398.0555555555556
286,348.0,410.00000000000006,399.66666666666674
287,349.33333333333337,411.66666666666674,401.2777777777779
288,350.66666666666674,413.3333333333334,402.888888888889
289,352.00000000000006,415.00000000000006,404.50000000000006
290,353.33333333333337,416.66666666666674,406.1111111111112
291,354.6666666666667,418.33333333333337,407.7222222222223
292,356.00000000000006,420.00000000000006,409.33333333333337
293,357.33333333333337,421.66666666666674,410.9444444444445
294,358.66666666666674,423.3333333333334,412.5555555555556
295,360.0,425.00000000000006,414.16666666666674
296,361.33333333333337,426.6666666666668,415.7777777777779
297,362.66666666666674,428.33333333333337,417.38888888888897
298,364.00000000000006,430.00000000000006,419.0000000000001
299,365.33333333333337,431.66666666666674,420.6111111111112
300,366.6666666666667,433.33333333333337,422.2222222222223
301,368.00000000000006,435.00000000000006,423.8333333333334
302,369.3333333333333,436.66666666666674,425.4444444444445
303,370.6666666666667,438.3333333333334,427.05555555555566
304,372.00000000000006,440.0000000000001,428.66666666666674
305,373.3333333333333,441.66666666666674,430.2777777777778
306,374.66666666666674,443.3333333333334,431.888888888889
307,376.00000000000006,445.00000000000006,433.50000000000006
308,377.33333333333337,446.66666666666674,435.1111111111112
309,378.66666666666674,448.3333333333334,436.7222222222223
310,380.00000000000006,450.00000000000006,438.3333333333334
